,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
446,9/26/2019 22:19:02,Yes,No,I don't remember,Tomatos,"Yes, occasionally",No,Dog Cat Horse Bird Mastadon,Fine,"Roller skate, Drive a stick shift, Dive headfirst off a diving board, Ice skate, Cut vegetables with a knife, Swim",glue,No,Cooler,Geen,Yes,47.0,3.0,No,No,0,2,None,Yes,Tom Cruse,Yes,No,Yes,sdfgjald;sjfl;aesjdfseajfewajmfo;lk,4.0,No,Yes,Vanilla,52.0,Nowhere ,Yes,No,22,Yellow,Android,Jumbo Gums,"Slickle, Rife, Soliloquy, Stipple, Tribution, Amiable, Regolith, Lithe, Hubris",cat,No,No,Neutral 😐,Yes,,"Noncaffeinated Soda, Coffee, Fruit Juice, Milk, Beer, Water",Big Bad Bog Bingo,No,4.0,"Sub/Hoagie, Hamburger",Dog-Person,No,No
17,6/1/2018 5:02:40,Yes,"No, but maybe someday.",White and Gold,Bananas,"Yes, occasionally",No,Dog Cat Tortoise Marmoset Ocelot,Grey,"Tie a sheet bend or bowline, Drive a stick shift, Solve a Rubik's cube, Ice skate, Cut vegetables with a knife, Swim, Juggle",Regards,No,Cooler,Dark green,No,62.0,10.0,No,Yes,0,1,0,Yes,Keira Knightley,No,No,Yes,"laiojevp;oaiernv;  900w34 934 ap;kon a[09 j4oignq[934 t6+0 q3840 8n)(£ 48 puin pas98 gngpq34890h n9 p8q98 89 lmknv xdcvlio n8zr0n3jhbrx953qt7uy6 8o oma p0s p45n;bkon90[-0 dlkf,xc,. bn;aopaghhp0aenrphnp ae r[ae0 [aojmdl;fkm ;dfkj;oijo;dbno iontrs; io;nrstnb;899d0sbsd9 s0 95nna]#a ;'[ lk=]-'[spf ;m3-90u s7y**983 4ks0 ';;drm' p 0-'KL; PO'APOM '-0I ;lm 'spt 'plsmrt 690 6 56  pdof md-02-0 i9u5uzfklfn;bfoidsbofinseon",2.0,No,Yes,Chocolate,62.0,"In a darkened room, a computer with a green screen whirs and beeps.  Messages pertaining to data requests scroll across the screen, too fast for the eye to follow.  A lone spider sits amongst a multitude of webs, and a faded photograph of Sir Tim Berners-Lee.",Yes,Yes,33,White,Android,"Chocolate, but I'm not proud of that fact","Rife, Soliloquy, Stipple, Tribution, Amiable, Salient, Regolith, Lithe, Hubris",cat,No,Yes,Neutral 😐,Yes,,"Caffeinated Soda, Noncaffeinated Soda, Coffee, Beer, Wine, Water",Nitwit! Blubber! Oddment! Tweak! Plagiarism!,No,3.0,Sub/Hoagie,Dog-Person,No,"I did the throwing out thing, but didn't talk to everyone about it"
171,11/5/2018 10:05:31,No,"No, but maybe someday.",Blue and Black,lasagna,"Yes, occasionally",No,"cat, dog, sheep, horse, duck",nice,"Roller skate, Solve a Rubik's cube, Ice skate, Ski, Cut vegetables with a knife, Swim, Change the oil on a car",supercalifragilisticexpialidocious,No,Cooler,green,No,18.0,8.0,Yes,No,3,4,1,No,no,Yes,No,Yes,no,3.0,No,Yes,Vanilla,17.0,no,Yes,Yes,15,"gray, orange, and white",I don't have a phone,cereal,"Rife, Soliloquy, Amiable, Lithe, Hubris, Fleek",cat,No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Cilantro, Coffee, Tomatoes","Noncaffeinated Soda, Milk, Maple Syrup, Water",a b c d e,A little,1.0,"Sub/Hoagie, Cheesesteak","Dog-Person, Cat-Person",Yes,"No, but I'm totally doing that now"
536,1/31/2020 3:27:33,Yes,No,White and Gold,Sushi,"Yes, occasionally",No,"Dog, cat, horse, chicken, elephant",Cloudy,"Roller skate, Drive a stick shift, Ice skate, Ski, Cut vegetables with a knife",,No,Warmer,Purple,No,36.0,9.0,No,Yes,1,0,0,Yes,Brad Pitt,No,No,Yes,jdknshH OIFOovnfaiofjFNLKFAOIHgid,3.0,Yes,Yes,Chocolate,20.0,,Yes,Yes,29,White,Android,Bread,"Soliloquy, Amiable, Hubris",cat,No,No,Neutral 😐,Yes,Cilantro,"Coffee, Fruit Juice, Wine, Tea, Water","random, lifted, phone, butter, tyrannosaurus",A little,2.0,"Sub/Hoagie, Open faced sandwich",Dog-Person,No,No
83,7/25/2018 0:42:21,Yes,"No, but maybe someday.",Blue and Black,Olives,"Yes, constantly",No,cat dog giraffe elephant bee,Cold and somewhat dry,"Drive a stick shift, Cut vegetables with a knife, Swim",Schuartzenegger,No,Cooler,black,No,231.0,9.0,Yes,Yes,2,0,0,Yes,jack black,No,I never had it,Yes,pararaprpaprapraprawpwdkowdopak ósdkvdjñosifjesñoijf owjfañdijwañdij awoñidjo2ij3o1i2jelkjascnxnclkd ,1.0,No,Yes,Chocolate,432.0,no,Yes,Yes,23,white,Android,Apple,"Rife, Soliloquy, Amiable, Salient, Lithe, Hubris",less,Yes,Yes,Positive 😊,No,Coffee,"Milk, Beer, Tea, Water",yes no black white yes,No,4.0,"Sub/Hoagie, Cheesesteak",Part of a subterranean race of dog people,Yes,No
80,7/19/2018 13:17:00,Yes,"No, but maybe someday.",Blue and Black,Ketchup,"Yes, occasionally",No,"Walrus
Seahorse
Pigeon
Donkey
Alligator",Sunny and cool,"Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim, Change the oil on a car, Juggle",Separate,Yes,Cooler,Orange,No,98.0,9.0,No,Yes,None,One,One,Yes,John Cena,Yes,No,Yes,äå‘éfí©áúßð©‘²9³‘³óáðfíñé®vf¾ðá¾ð¾ßíáßðíœféñb³¤‘¾®þfhna9df,3.0,No,Yes,Vanilla,97.0,Somewhere in the desert,Yes,Yes,17,Light blue,Android,Grasshopper ice cream,"Rife, Soliloquy, Amiable, Salient, Regolith, Lithe, Hubris","""cat"" here",No,Yes,Neutral 😐,Yes,"Beer, Cilantro","Noncaffeinated Soda, Fruit Juice, Milk, Tea, Water","Suitcase
Bludgeon
Kidney
Apricot
Sickly",No,2.0,"Sub/Hoagie, Cheesesteak, Open faced sandwich",Cat-Person,Yes,"No, but I'm totally doing that now"
439,9/22/2019 16:16:43,Yes,Yes,I don't remember,Chicken Pot Pie,I'm not sure what things you mean,No,"Elephant, giraffe, fox, lizard, eel",sunny,"Tie a sheet bend or bowline, Skateboard, Cut vegetables with a knife, Swim",information,Yes,Cooler,Grey,Yes,75.0,8.0,Yes,No,0,2,0,Yes,Jennifer Lawrence,Yes,No,Yes,flkdajafndfnakdfja ,4.0,No,Yes,Chocolate,37.0,Servers,Yes,Yes,19,White,iPhone,French Fries,"Regolith, Hubris","""cat"" here",Yes,No,Positive 😊,Yes,"Eggs, Carbonation (fizz), Coffee, Tomatoes","Fruit Juice, Water",yet dog cat box cubicle,No,5.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger",Cat-Person,Yes,No
295,3/13/2019 6:51:58,Yes,No,What dress?,pie,"Yes, constantly",No,"Rockhopper penguin, emperor penguin, fairy penguin, chinstrap penguin, velociraptor",Rainy,"Run in high heels, Ice skate, Walk on stilts, Ski, Cut vegetables with a knife, Swim, Unicycle, Juggle",ecclesiastical,No,Cooler,red,No,1.0,10.0,No,No,2,0,0,No,Coruscant Prime,No,Yes,No,tr dgds kgjegoidsjg;dsa g;ajs tutils;kd jg;lcsj d;lgdiug;retas'rt ut0uw sjg; jr;uyuges;gudsy ;sgdfdsg ;j hsjg;fgsjdfg;esgjoifdsg fdg;sa fa;rraoitryf;s;gh mn;n ;gh ;sgd;hgdskfhd,1.0,Yes,Yes,Chocolate,83.99421527,Spain.,Yes,Yes,445 fortnights,white,iPhone,Ice Cream,"Soliloquy, Stipple, Peristeronic, Trephony, Unitory, Amiable, Salient, Lithe, Revergent, Hubris, Cadine, Apricity","""cat"" here",No,Yes,Neutral 😐,Yes,"Beer, Carbonation (fizz), Red wine, Cilantro, Coffee, Yogurt","Milk, Maple Syrup, Water","ecclesiastical, defenestrate, prematrimonial, tetramethylbutane, a",Yes,3.0,Sub/Hoagie,,No,No
202,12/7/2018 10:29:48,Yes,No,A color combination not listed here,Meat,"Yes, occasionally",No,"Dog, cat, sloth, wolf, horse","Sunny, but cold","Ice skate, Cut vegetables with a knife, Swim",Spefifically,Yes,Warmer,Fuschia,No,15.0,8.0,Yes,Yes,0,1,0,Yes,Harrison Ford,No,I never had it,No,"ujbcuygdvsbliufhwensdk,z",2.0,No,Yes,Chocolate,8.0,In a big black void filled with green binary code.,Yes,No,13,Cream,Non-smartphone,Fruity Pandas cereal,"Rife, Soliloquy, Amiable, Regolith, Lithe, Hubris, Fleek",cat,Yes,No,Positive 😊,Yes,"Eggs, Coffee, Tomatoes","Milk, Maple Syrup, Water","Lucid, lovely, red, glitter, gold",A little,3.0,"Sub/Hoagie, Hamburger","Dog-Person, Cat-Person, Half-Cat Half-Person",Yes,No
293,3/10/2019 3:43:04,Yes,No,I don't remember,cherries,"Yes, occasionally",No,cow cat dog mouse horse,rain,"Solve a Rubik's cube, Cut vegetables with a knife",bicycle,Yes,Cooler,brown,No,99.0,8.0,No,Yes,3,2,0,No,A movie star,No,No,Yes,ncoq8hcpq8h7rgosh8ecr pserj pcwbo7wr3ofbdawxcn9esgpd9etnacück94dn9p,3.0,No,Yes,Vanilla,43.0,Area 51,Yes,Yes,24,orange,Non-smartphone,Cornflakes,Regolith,cat,Yes,No,Negative 😠,Yes,"Eggs, Cilantro, Tomatoes","Noncaffeinated Soda, Coffee, Milk, Beer, Water",I type five random words,A little,2.0,Sub/Hoagie,Cat-Person,Yes,No
573,4/4/2020 0:04:46,Yes,No,Blue and Black,gum,"Yes, occasionally",No,Snail dog cat duck mouse,night,"Solve a Rubik's cube, Dive headfirst off a diving board, Swim",committee,No,Cooler,green,No,51.0,4.0,Yes,Yes,2,0,0,Yes,Will Smith,No,No,No,hechizados,1.0,Yes,Yes,Vanilla,4.0,in my phone,Yes,Yes,16,white,iPhone,burrito ,"Soliloquy, Amiable, Salient, Hubris",cat,No,No,Neutral 😐,Yes,"Carbonation (fizz), Coffee",Water,finger pole half joke not,No,3.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger",Dog-Person,Yes,No
308,3/27/2019 18:34:18,Yes,No,A color combination not listed here,mayonaise,"Yes, occasionally",No,aardvark ant monkey mouse frog,sunny,"Roller skate, Solve a Rubik's cube, Ice skate, Ski, Cut vegetables with a knife, Swim",,No,Cooler,black,No,46.0,8.0,Yes,Yes,0,2,0,No,Angelina Jolie,No,No,Yes,hdakjhkjhsdkjhjkdshjkhsfdljkhjklsad hlf shhpre woUI;QUW:,2.0,Yes,Yes,Vanilla,6.0,"There isn't, but if I had to make one up other than the real place, I'd say above or behind my computer screen.",No,No,22,grey,iPhone,pizza stick,"Rife, Soliloquy, Amiable, Salient, Lithe, Hubris, Fleek",cat,No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Coffee","Fruit Juice, Tea, Water",pig frog white orange sound,No,2.0,"Sub/Hoagie, Cheesesteak, Calzone",Cat-Person,No,No
350,5/28/2019 9:48:03,Yes,"No, but maybe someday.",I don't remember,,"Yes, occasionally",No,,,"Tie a sheet bend or bowline, Roller skate, Drive a stick shift, Dive headfirst off a diving board, Ice skate, Walk on stilts, Cut vegetables with a knife, Swim, Ride a horse",embarrassed,,Warmer,,No,,9.0,Yes,Yes,,,,Yes,,No,No,Yes,,3.0,No,Yes,Vanilla,,,Yes,Yes,,,iPhone,,"Rife, Soliloquy, Stipple, Peristeronic, Tribution, Amiable, Salient, Regolith, Lithe, Revergent, Hubris, Fleek, Cadine, Apricity",,No,Yes,Neutral 😐,Yes,"Carbonation (fizz), Coffee",Water,,No,4.0,"Sub/Hoagie, Hamburger",Half-Cat Half-Person,Yes,No
479,11/11/2019 16:46:45,Yes,Yes,I don't remember,Chicken wings,"Yes, occasionally",No,Panther Jaguar elephant horse mice,Cold and foggy,"Tie a sheet bend or bowline, Drive a stick shift, Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim",Parallel ,Yes,Cooler,Blue and white,No,38.0,8.0,No,Yes,2,0,2,Yes,Wes chtatham,No,No,Yes,Cuivreux ossements tobenden,4.0,No,Yes,Chocolate,54.0,In the cables,Yes,Yes,30,Yellow and blue,Android,Chocolate,"Rife, Soliloquy, Fination, Tribution, Amiable, Regolith, Lithe, Hubris",Cat,Yes,Yes,Neutral 😐,Yes,Cilantro,"Coffee, Fruit Juice, Beer, Wine, Water",This video fibreux plane dance,No,3.0,"Taco, Sub/Hoagie, Hamburger","Cat-Person, Half-Cat Half-Person",Yes,No
125,8/30/2018 12:12:30,Yes,"No, but maybe someday.",White and Gold,Water. It tastes awful.,"Yes, constantly",No,"Dog, cat, whale, horse, water bear.",Pretty nice. How's there?,"Dive headfirst off a diving board, Cut vegetables with a knife, Swim, Do a back handspring, Juggle",Litteraly old off then,Yes,Cooler,White ,No,50.0,8.0,No,Yes,0,0,0,Yes,Benedict Cumberbatch,No,I never had it,Yes,SplqbebfizbapqpjevxlzjC-×¥¶`¶~π¢°¢∆)b(€(39,4.0,No,Yes,Vanilla,42.0,Igloo on the South Pole,No,Yes,17,I have no walls around me. I'M FREE,Android,A sandwich,Soliloquy,"""cat"" here",No,No,Neutral 😐,No,Tomatoes,"Caffeinated Soda, Coffee, Fruit Juice, Milk, Beer, Water",I AM A REBEL,No,3.0,,"Dog-Person, Cat-Person, Half-Cat Half-Person, Part of a subterranean race of dog people, Literally named ""Catherine Person""",Yes,"No, but I'm totally doing that now"
116,8/19/2018 8:49:49,Yes,"No, but maybe someday.",White and Gold,Avocados,"Yes, constantly",Yes,Cat dog cow elephant chihuahua ,Damp,"Tie a sheet bend or bowline, Ice skate, Skateboard, Cut vegetables with a knife, Swim","Sense. Or sence. They're both diffent words, pronounced the same way.",No,Warmer,Light blue,No,26.0,7.0,No,Yes,0,2,2,No,Matt Damon,No,Yes,Yes,hsgafmjfhkiegranjhgnafbhkcahskginsuflegntrsfdhbodriesafgxrogmsokdjkvbdhj,1.0,No,Yes,Vanilla,77.0,oh,Yes,Yes,16,"dark cream, but it's too dark to see colour.",iPhone,A regular Tim-Tam,"Slickle, Rife, Regolith",cat'); DROP TABLE Results;--,No,No,Neutral 😐,No,"Eggs, Tomatoes",Milk,cheese lettuce pumpkin macbook typewriter,No,5.0,"Sub/Hoagie, Hamburger, Open faced sandwich",Dog-Person,Yes,"No, but I'm totally doing that now"
144,10/8/2018 13:44:07,Yes,"No, but maybe someday.",Blue and Black,philly cheese steak,"Yes, occasionally",No,cat dog horse bird bug,sunny,"Tie a sheet bend or bowline, Drive a stick shift, Cut vegetables with a knife, Swim, Change the oil on a car",tomrrow,Yes,Cooler,Green,Yes,84.0,2.0,Yes,No,0,2,0,Yes,Burt Renoylds,Yes,No,Yes,awiefaipjgnop3j89nuo;anfo;[w[p,4.0,No,Yes,Chocolate,87.0,Everywhere,No,Yes,19,Wood,Android,Chicken and Grits,"Rife, Soliloquy, Amiable, Salient",cat,No,No,Negative 😠,Yes,"Cilantro, Tomatoes","Beer, Maple Syrup, Water",dog cat goat six hat,No,4.0,"Sub/Hoagie, Cheesesteak, Hamburger","Dog-Person, Cat-Person",Yes,No
156,10/17/2018 9:48:43,Yes,No,What dress?,Cobb salad,I'm not sure what things you mean,No,"Dog, Cat, Giraffe, Monkey, Lizard",Rainy,"Dunk a basketball, Cut vegetables with a knife, Swim",Phoenix,No,Cooler,White / Black,No,87.0,9.0,Yes,Yes,0,0,0,Yes,Robert Downey Jr.,No,Yes,Yes,mkqzokmqsosxinxwdnijdeijndechuechubrbygvbgyvtbhuvhufrcjniedcnjimiwsxmkzswmokzokmaqzkmozkmiswxmijindenijdcnijfrnijfvhfrhvhubfvhuvnrfjvnrubfvyurf,2.0,No,Yes,Vanilla,63.0,"Burbank, California",Yes,Yes,15,white,iPhone,A sandwich,"Amiable, Lithe, Hubris","""cat""",Yes,No,Neutral 😐,Yes,"Beer, White wine, Carbonation (fizz), Red wine, Cilantro, Coffee, Tomatoes","Fruit Juice, Milk, Water","Arrow, Ball, Plethora, Argue, Eagle",A little,5.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Dog-Person, Cat-Person",Yes,No
254,2/12/2019 10:09:58,Yes,"No, but maybe someday.",Blue and Black,Mushrooms (bleh),"Yes, occasionally",No,"Penguin
Dog
Cat
Blacktip reef shark
Human",Can't tell- it's dark,"Ski, Swim",Bourgeoisie,Yes,Cooler,Red,No,42.0,8.0,No,Yes,0,1,0,No,I live under an asteroid,Yes,No,Yes,Fhvgbvrthhjdrthbdwrhnbfghjnvfeetujngfgg,1.0,Yes,Yes,Chocolate,42.0,Behind my screen,Yes,Yes,sqrt(169),Some are white while others are beige with gold flecks,Other Smartphone,My dinner,"Amiable, Regolith",cat,No,No,Neutral 😐,No,Beer,"Caffeinated Soda, Coffee, Fruit Juice, Milk, Tea, Water","Pizza
Onomatopoeia
Space
Spaaaace
Spaaaaaaaaaaace",No,5.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger",Cat-Person,Yes,No
76,7/15/2018 11:14:13,Yes,"No, but maybe someday.",I don't remember,sauerkraut,"Yes, occasionally",No,Cat dog elephant mouse penguin,sunny hot,Swim,das/dass,No,Cooler,black,No,25.0,3.0,No,Yes,0,0,0,Yes,jonny depp,No,No,No,Fdjdllsmylcldksks,1.0,No,Yes,Vanilla,25.0,Giant warehouse,Yes,No,17,white,Android,pita bread,,cat,No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Tomatoes","Caffeinated Soda, Fruit Juice, Water",Hello me I people words,No,2.0,Hamburger,Cat-Person,No,"No, but I'm totally doing that now"
27,6/7/2018 18:11:17,Yes,"No, but maybe someday.",Blue and Black,hawaiian pizza,"Yes, occasionally",No,"snake, dog, cat, frog, horse",sunny,"Roller skate, Solve a Rubik's cube, Dive headfirst off a diving board, Ice skate, Skateboard, Ski, Cut vegetables with a knife, Swim",success,No,Warmer,black,No,3.0,7.0,No,No,1,2,0,Yes,tom hanks,Yes,No,Yes,dfgavhsvfkjbsdjkbjfkbjbjk'bjfbsdkbkdsbfvf;knjo;d'n'oj4208uyrh,3.0,No,Yes,Vanilla,3.0,"on some dudes computer, covered in dorito dust and sticky from mountain dew",Yes,Yes,16,gray,iPhone,red-bull & soup ,"Rife, Soliloquy, Amiable, Salient, Lithe, Revergent, Hubris, Fleek","""cat"" here",Yes,Yes,Neutral 😐,Yes,"Beer, Red wine","Caffeinated Soda, Noncaffeinated Soda, Coffee, Fruit Juice, Milk, Beer, Tea, Maple Syrup, Water",runner fire monster crazy underneath,No,3.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Dog-Person, Literally named ""Catherine Person""",Yes,No
296,3/13/2019 11:48:30,Yes,No,A color combination not listed here,Fried chicken,"Yes, occasionally",No,Dog cat chicken pig horse,Cold,Swim,Balloon,Yes,Warmer,White,Yes,65.0,9.0,Yes,Yes,0,1,0,Yes,Danny DeVito,No,No,Yes,Fbjhttrfdhrefshfersdershhersfjftthkgftknjfnftkjhrjdghrmqeghrjwdjkgwfnwikunhjkhe hjktefnkkegkhj e,3.0,No,Yes,Vanilla,45.0,In the screen,Yes,Yes,16,Brown,iPhone,Ravioli,"Slickle, Soliloquy, Peristeronic, Amiable, Lithe, Hubris, Fleek","""cat"" here",No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Cilantro, Coffee, Tomatoes","Caffeinated Soda, Milk, Water",John jive four pig hat,Yes,3.0,Sub/Hoagie,Dog-Person,No,"No, but I'm totally doing that now"
237,2/3/2019 2:26:16,Yes,"No, but maybe someday.",I don't remember,Sweet pies,"Yes, occasionally",No,Snake cat fish bird leopard,A bit rainy,"Tie a sheet bend or bowline, Dive headfirst off a diving board, Cut vegetables with a knife, Swim, Juggle",Tongue,No,Cooler,White,No,56.0,8.0,Yes,Yes,One,One,None,No,Gina Rodriguez,No,No,Yes,Cbsisuclsoazgbcmqoquxcy ftmalauchr Jesus iDisk b I udjexb,3.0,No,Yes,Vanilla,73.0,,Yes,Yes,21,Yellow and blue,iPhone,Popcorn,"Slickle, Rife, Soliloquy, Salient, Hubris, Fleek",Cat,No,Yes,Neutral 😐,No,,Water,Tree west go sound forest hat,No,3.0,"Sub/Hoagie, Cheesesteak, Hamburger","Literally named ""Catherine Person""",Yes,No
589,5/3/2020 3:11:40,Yes,"No, but maybe someday.",Blue and Black,Mushrooms,"Yes, occasionally",No,girraffe panda rabbit chicken duck,Dark and rainy.,"Tie a sheet bend or bowline, Roller skate, Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim, Juggle",Fi.. fe.. field,No,Cooler,Black.,Yes,56.0,8.0,No,No,2,0,0,Yes,Don Cheadle,Yes,No,Yes,"ghgdgweuihr382ufjdklanfjlrehajkanzfjkv vdfje;rhu;arehet
jkl'n'nzv'kdz'nj'dfznj'dteio4rojalj55uq90tesjgrlknv ijz;jgoiajgrldjkfgl;jfogr a''a p
",2.0,No,Yes,Vanilla,39.0,No.,Yes,Yes,35,White,I don't have a phone,Fruit salad,"Rife, Soliloquy, Amiable, Salient, Regolith, Lithe, Hubris, Apricity",cat,No,Yes,Neutral 😐,Yes,,"Fruit Juice, Milk, Tea, Water",table laptop plantar sagebrush glass,A little,3.0,"Sub/Hoagie, Hamburger, Open faced sandwich",Dog-Person,No,No
277,3/5/2019 20:18:20,No,No,Blue and Black,Bacon,"Yes, occasionally",No,cat dog bird squirrel elephant,"The sun is out, but it's a bit chilly.","Cut vegetables with a knife, Change the oil on a car",Tomorrow,No,Warmer,Grayish-pink and black,Yes,69.0,7.0,Yes,Yes,0,3,0,Yes,Priyanka Chopra,No,Yes,Yes,fifhweoihfbvdbd2389gbaudib8gb489gvbcuegv ,3.0,No,Yes,Vanilla,20.0,"No, not really.",Yes,Yes,20,Eggshell white,iPhone,Vanilla Pudding Cake,"Rife, Soliloquy, Amiable, Salient, Lithe, Hubris, Fleek",cat,No,No,Neutral 😐,Yes,"Eggs, Cilantro, Tomatoes","Caffeinated Soda, Coffee, Fruit Juice, Water",book cup fry stupid wing,A little,4.0,"Sub/Hoagie, Hamburger, Open faced sandwich",Cat-Person,No,No
309,3/30/2019 13:52:57,Yes,"No, but maybe someday.",White and Gold,Mayonnaise,"Yes, occasionally",No,Axolotl Jaguar Cuttlefish Falcon Manta,Sunny,"Drive a stick shift, Walk on stilts, Ski, Cut vegetables with a knife, Swim, Change the oil on a car",Pneumonoultramicroscopicsilicovolcaniosis,No,Cooler,blue,No,42.0,9.0,Yes,No,1,0,0,Yes,,No,No,Yes,"ipuwgecwqv pcdiuwuhp9834hfuqpw;'q
O'DWCG'UGV['W/Q'QW;/UVQE92GP;Gpw;ebvoiuvidv92e8ry92grbvolxkm,xowkld2ze;op2gfpuibclm01po23'xm4[r09pº“34ir.940u5go2iuxkl4['90u=5-0[
34vh'3x#$zhp43ur3y4pxbf3;$h(*$4klfufj4ughfoiwehion'3
$4ufygi43uj",4.0,Yes,Yes,Chocolate,42.0,No,Yes,Yes,18,White,iPhone,Oatmeal,"Soliloquy, Stipple, Peristeronic, Trephony, Amiable, Salient, Regolith, Lithe, Revergent, Hubris",Cat,No,No,Negative 😠,No,Tomatoes,Water,Goose Magnetoplasmadynamic  Henceforth Iapetus Monophagous,No,4.0,"Sub/Hoagie, Cheesesteak, Hamburger","Cat-Person, Half-Cat Half-Person",Yes,"No, but I'm totally doing that now"
526,1/15/2020 0:15:31,Yes,No,White and Gold,Potatoes,"Yes, occasionally",No,Dog Cat Deer Cow Chicken,Sunny,"Dunk a basketball, Roller skate, Run in high heels, Drive a stick shift, Solve a Rubik's cube, Dive headfirst off a diving board, Ice skate, Walk on stilts, Ski, Cut vegetables with a knife, Swim, Unicycle, Change the oil on a car",Micheal,Yes,Cooler,Gray,No,7.0,9.0,No,No,0,2,None,No,Brad Pitt,Yes,No,Yes,Vscegyvfbklambxycqxxxxwcfsyhxbjiruxgvvejiri,5.0,No,Yes,Vanilla,7.0,. . .,Yes,Yes,22,Eggshell,iPhone,Ice Cream,"Slickle, Rife, Soliloquy, Amiable, Salient, Lithe, Hubris, Fleek",Cat,Yes,No,Negative 😠,Yes,Coffee,"Fruit Juice, Beer, Wine, Maple Syrup, Water",Your Answer Five Random Words,No,4.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Dog-Person,Yes,No
230,1/19/2019 9:09:34,Yes,"No, but maybe someday.",I don't remember,raisins,"Yes, occasionally",No,"cat, dog, human, fish, bug",thaw,"Drive a stick shift, Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim, Change the oil on a car",beautiful,Yes,Cooler,white,Yes,26.0,10.0,No,Yes,none,one,none,No,Zeta Reticuli,No,No,Yes,iearstieonarstieonarsteoniarstioenartsieoarstionarstie,2.0,No,Yes,Chocolate,3.1415900000000003,no,Yes,Yes,25,yellowish beage,Android,shwarma,"Tribution, Regolith",кошка,No,No,Neutral 😐,Yes,Beer,"Caffeinated Soda, Noncaffeinated Soda, Fruit Juice, Milk, Tea, Water",london is the capital of,No,5.0,"Taco, Sub/Hoagie, Hamburger",Cat-Person,Yes,Yes
