,Timestamp,Have you been in a plane?,Have you ever been skydiving,"When you first saw the dress, what was the color?",What's a popular food you don't like?,"When you look at a blue sky, do you see those swirly floaters in your vision? ",Have you ever had a car run out of gas while you were driving it? ,Name the first five animals you can think of,What's the weather like where you are right now?,Which of these can you do reasonably well?,What word can you never seem to spell on the first try? ,Do you eat condiments directly out of the fridge as a snack?,"When you adjust a thermostat that was set by someone else, it's usually because you want the room to be...","What color is the shirt/dress/upper-body-clothing you're wearing right now, if any? ",Do you get colds often? ,Pick a number from 1 to 100,"On a scale of 1 to 10, how good at spelling are you?",Do you know your Myers-Briggs type? ,Do you know your astrological sign? ,How many older siblings do you have? ,How many younger siblings do you have? ,How many twin/triplet/etc. siblings do you have? ,Do you feel sleepy a lot? ,Name a movie star,Do you spend a lot of time in the sun? ,Does broccoli taste bitter to you? ,Do you regularly stay awake much later than you meant to? ,Fill this text box with gibberish by mashing random keyboard keys,"On a scale of 1 to 5, where 1 is terrible and 3 is average, how good a driver do you think you are? ",Do you have any food allergies? ,Have you heard thunder or seen lightning in the past year?,Which do you prefer? ,Pick another number from 1 to 100,"When you think about stuff on the internet, where do you picture it being physically located? Even if you know it's not really how things work, is there a place you imagine websites and social media posts sitting before you look at them? If so, where is it?",Can you roll your tongue?,Can you pick things up with your toes? ,How old are you?,What color are the walls around you right now? ,What kind of cell phone do you have? ,What is the last thing you ate?,Which of these words do you know the meaning of?,"Please type ""cat"" here",Do you usually remember your dreams? ,Do you have strong opinions about text editors?,How do you feel about emoji?,Does it ever snow where you live? ,Do you strongly dislike the taste or texture of any of these things? ,Which of these do you regularly drink,Type five random words,Are you nervous about flying? ,"On a scale of 1 to 5, which number is your favorite? ",Which of these would you consider a sandwich?,Which of these describes you?,Would you say you have a good sense of direction? ,"Have you ever thrown out all your different pairs of socks/underwear, bought a bunch of replacements that were all one kind, and then told all your friends how great it was and how they should do it too? "
547,2/15/2020 20:44:37,No,No,I don't remember,Pizza,"Yes, constantly",No,"Snoopy, Tom, Jerry, Woodstock, Bugs Bunny",Dark (It's night time...),"Dunk a basketball, Roller skate, Run in high heels, Drive a stick shift, Solve a Rubik's cube, Dive headfirst off a diving board, Skateboard, Cut vegetables with a knife, Ride a horse, Unicycle, Juggle",My online banking password,No,Warmer,Transparent,No,1.1737381838828177e+101,7.0,No,No,0,0,0,Yes,Donald Duck,Yes,No,No,Covfefe,5.0,Yes,No,Vanilla,71.13893951,USA because i always read a bunch of stupid stuff on the blogweb ,No,Yes,37,"Gray-ish, shifting to brown... Never realized this O.o",I don't have a phone,Bubblegum,,"""cat""",No,Yes,Negative 😠,Yes,"White wine, Cilantro","Milk, Wine, Maple Syrup, Water","Anal, System, Garbage_Collector, November, 17",A little,5.0,"Sub/Hoagie, Cheesesteak, Calzone","Half-Cat Half-Person, Literally named ""Catherine Person""",Yes,"No, but I'm totally doing that now"
179,11/9/2018 6:43:04,Yes,"No, but maybe someday.",What dress?,"Kale, fuck kale",I'm not sure what things you mean,No,"Bear, dog, cat, giraff, bird",Sunny but cold,"Dunk a basketball, Roller skate, Run in high heels, Solve a Rubik's cube, Dive headfirst off a diving board, Walk on stilts, Ski, Cut vegetables with a knife, Swim",Wel....,Yes,Warmer,Blue,No,42.0,10.0,No,Yes,1,None,1,Yes,Bill Murray,Yes,No,Yes,Hxuaks vofiensnchchdlaksndheicn nsosicodnenlyovibdaloskemvlpalanvbcuekwlslvnnfiwnans,4.0,Yes,Yes,Chocolate,67.0,,Yes,Yes,28,White,iPhone,Darvida,,"What do you expect, I‘m definatly not writing „cat“ in this box...or am I? ",Yes,Yes,Positive 😊,Yes,,"Coffee, Milk, Beer, Tea, Water",But I don‘t know which,A little,3.0,Sub/Hoagie,"Dog-Person, Cat-Person",Yes,No
108,8/11/2018 17:26:09,Yes,No,Blue and Black,,"Yes, constantly",No,"Pterodactyl, platypus, fox, penguin, woodrat",Cold,"Solve a Rubik's cube, Ice skate",Psychologist,No,Cooler,Pink,No,31.0,8.0,No,Yes,0,1,0,Yes,Ellen Page,No,No,Yes,Cisocnrisjfnlfowhxhdksndiajdfidnkcslncifldjrienhdodcksmbfusmbxwfjsjasjdhsbbzauhsnfwjxifjenforfzjofkwmxjekdkkeld,3.0,No,Yes,Chocolate,32.0,On the webpage itself,Yes,Yes,21,White,iPhone,Lasagne,"Rife, Soliloquy, Lithe",“cat” here,Yes,No,Negative 😠,Yes,"Beer, White wine, Red wine, Cilantro, Tomatoes","Coffee, Fruit Juice, Milk, Tea, Water",Five random words,No,3.0,,Cat-Person,Yes,No
566,3/18/2020 16:37:33,Yes,Yes,Blue and Black,Pepperoni Pizza,"Yes, constantly",No,cat dog giraffe rhino lion,Overcast,"Tie a sheet bend or bowline, Drive a stick shift, Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim, Juggle",canceled,No,Cooler,Black,No,43.0,10.0,Yes,Yes,1,0,0,No,Brad Pitt,No,No,No,h pzsoigh poigeaeoirh q[eoirhg aiho[iaehrg[oqiaeg[oqi3ht ,5.0,No,Yes,Chocolate,37.0,"Loudoun County, Virginia",Yes,Yes,25,gray,iPhone,Banana Bread,"Rife, Soliloquy, Stipple, Amiable, Salient, Lithe, Hubris",cat,Yes,No,Neutral 😐,Yes,Tomatoes,"Caffeinated Soda, Fruit Juice, Beer, Wine, Tea, Water",article shart phone computer salt,A little,5.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Dog-Person,Yes,No
591,5/4/2020 16:23:07,Yes,No,White and Gold,chocolate,"Yes, occasionally",No,human crocodile tardigrade toad dog,sunny,"Roller skate, Dive headfirst off a diving board, Ice skate, Skateboard, Ski",definately,Yes,Cooler,black with white writing,Yes,4.71238898,9.0,No,Yes,1,0,0,No,kevin bacon,No,Yes,Yes,afkhhblafAF KKJ;AFSBKJ;ADFS,2.0,No,Yes,Vanilla,50.0,no,Yes,Yes,about ((40/3)-(pi/9)),im outside,Android,bagel,"Soliloquy, Regolith, Lithe, Hubris, Fleek",cat,No,No,Positive 😊,Yes,"Beer, White wine, Carbonation (fizz), Red wine, Cilantro, Coffee","Noncaffeinated Soda, Milk, Water",your mom and my jorts,Yes,5.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Cat-Person, Half-Cat Half-Person, Part of a subterranean race of dog people",No,No
259,2/18/2019 16:48:48,Yes,No,White and Gold,Buffalo chicken,No,No,Dog Cat Bird Monkey Dolphin,Sunny,"Drive a stick shift, Swim, Juggle",access,No,Warmer,White,Yes,27.0,7.0,Yes,Yes,1,0,0,Yes,Leonardo DiCaprio,No,No,Yes,hsvjblhbvjskv,4.0,No,No,Chocolate,26.0,In the LITERAL cloud,Yes,Yes,23,White,Android,Bagel,"Rife, Soliloquy, Amiable, Salient, Lithe, Hubris",cat,No,No,Neutral 😐,No,White wine,"Milk, Beer, Tea, Water",once happy fifth seventeen open,No,2.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Calzone","Dog-Person, Cat-Person",Yes,Yes
320,4/20/2019 22:10:03,Yes,"No, but maybe someday.",Blue and Black,seafood,"Yes, occasionally",No,"aardvark, polar bear, seahorse, giraffe, squid",calm,"Roller skate, Solve a Rubik's cube, Dive headfirst off a diving board, Cut vegetables with a knife, Swim, Juggle",definitely,No,Warmer,gray,No,32.0,9.0,No,Yes,0,1,1,No,Arnold Schwarzenegger,No,No,Yes,xcgfhwkjvcxhibnaiewgfhksjaqnsjfozye,3.0,No,Yes,Chocolate,67.0,I don't really picture it anywhere,Yes,Yes,16,beige,Android,Peanut butter cake,"Amiable, Hubris",cat,Yes,No,Neutral 😐,Yes,,"Milk, Tea, Water",fish lump poor word kick,No,5.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Dog-Person, Cat-Person",No,No
443,9/25/2019 17:09:58,Yes,"No, but maybe someday.",A color combination not listed here,Ice cream,"Yes, constantly",Yes,Dog horse zebra snake vaquita,Sunny,"Cut vegetables with a knife, Swim, Change the oil on a car, Do a back handspring",Museum,No,Cooler,Red,Yes,67.0,7.0,No,No,0,2,2,Yes,The rock,Yes,No,Yes,XTjngxyfkdhfzngkdytjs,1.0,No,Yes,Chocolate,72.0,What?,Yes,Yes,13,Eggshell,iPhone,Apple,"Rife, Tribution, Salient, Fleek",Kat ,No,No,Neutral 😐,Yes,"Chocolate ice cream, Cilantro, Coffee, Yogurt",Water,Pizza taco monkeys French spoon,No,4.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone",Half-Cat Half-Person,Yes,"No, but I'm totally doing that now"
219,12/27/2018 17:37:38,Yes,"No, but maybe someday.",A color combination not listed here,Birthday cake,"Yes, constantly",No,Ostrich kitty pelican puffin penguin,Chilly,"Drive a stick shift, Cut vegetables with a knife, Change the oil on a car, Juggle","I know there are some, but I can't think of them.",No,Warmer,Light Blue,No,4.0,7.0,Yes,Yes,3,0,0,Yes,Anthony Hopkins,No,No,No,Iwnwi8dy3bwiq9aj1noalwmsbdydu,4.0,No,Yes,Chocolate,44.0,Far away in a big data centre,Yes,Yes,30,Way off white,Android,A wrap,"Rife, Soliloquy, Amiable, Salient, Regolith, Hubris, Fleek","""cat"" here",Yes,No,Positive 😊,Yes,,"Fruit Juice, Tea, Water",Big enchilada purview cancel terrorize,A little,4.0,"Sub/Hoagie, Hamburger, Open faced sandwich",Cat-Person,Yes,"No, but I'm totally doing that now"
426,8/31/2019 11:56:03,Yes,No,I don't remember,cheese,"Yes, occasionally",No,Rabbit Horse Comodo-Dragon Lion Cat,way to hot.,"Roller skate, Drive a stick shift, Ice skate, Cut vegetables with a knife, Swim, Ride a horse, Change the oil on a car",nämlich,No,Cooler,blue,No,32.0,5.0,No,Yes,0,1,0,Yes,Toothless,No,Yes,Yes,Fskkszkhxlhxtstdzcvbkvxitsitsraaudhvlvlkbifitsuraozfuy85;4!59;96:96;7437[5-6=8}-75+7=8_7igxitxitdozfucozditdityifyjfud7%!59;885!746]uryityx7%!85!85;8&!85;96%96:96;9&uizxufozdoufohcohcoh,4.0,No,Yes,Chocolate,64.0,Some Server located in the shithole of the World: America,Yes,Yes,19,yellow,Other Smartphone,Bavarian Weißwurst,Hubris,"echo ""cat""",No,Yes,Negative 😠,Yes,Coffee,"Milk, Beer, Water",Microsoft Boat WD40 Toaster Mirror,No,4.0,Open faced sandwich,"Cat-Person, Half-Cat Half-Person",Yes,"I did the throwing out thing, but didn't talk to everyone about it"
404,8/9/2019 19:28:39,No,"No, but maybe someday.",I don't remember,"Most of them, actually.","Yes, occasionally",No,"Cat, dog, bird, unicorn, Pokemon.",Fucking hot out. It sucks.,"Run in high heels, Cut vegetables with a knife",Neccasary.,No,Cooler,"Eddsworld merch. It says ""Kitten Shopping"". It has Tom and cats on it. It's my favourite.",Yes,666.0,5.0,No,Yes,I'm the eldest sibling.,One. He is a fucking prick.,"I'm assuming that the ""etc."" covers people who I consider as close as siblings. I used to know these two twins, then I moved away from there. That's why I answered last time I did this as ""1"". 'Cause I assumed that the ""etc."" bi thad covered people I considered as close as siblings and I once knew some twins and we all considered each other the sorta ""not really siblings but close as siblings"" thing. It was nice. Sorry for rambling.",Yes,"Edd, Matt, Tom, Tord. Wait Eddsworld isn't a movie.",No,Yes,Yes,dsggasdgdsfldfdasedffg<dsafgdsgspfgdsgfofg<sdfssvdfrsgfdsasjh,3.0,No,Yes,Vanilla,665.0,"I've always imagined it as a large box far off in the mountains, the peak of this specific mountain was cut off many years ago, surrounded by trees.",Yes,Yes,Old enough.,Dull brown panelling with drawings everywhere.,Non-smartphone,A chocolate bar. Haven't has anything else yet.,"Rife, Hubris",catgirls,Yes,Yes,Neutral 😐,Yes,"Chocolate ice cream, Carbonation (fizz), Coffee, Tomatoes","Caffeinated Soda, Fruit Juice, Milk, Maple Syrup",Five Random Words. Hell Yeah!,No,5.0,"Sub/Hoagie, Hamburger",Half-Cat Half-Person,No,No
126,8/31/2018 20:32:01,Yes,No,Blue and Black,Pad Thai,"Yes, occasionally",No,"Whale, wolf, lion, bear, horse",Cloudy,"Dive headfirst off a diving board, Cut vegetables with a knife",occasion,No,Warmer,Black,No,25.0,9.0,Yes,Yes,0,2,0,Yes,Brad Pitt,No,No,Yes,ajl;dfk jads;fkjsd ;lfks,4.0,No,Yes,Chocolate,33.0,"Mountain View, CA",Yes,Yes,27,White,Android,Chips,"Rife, Soliloquy, Amiable, Salient, Lithe, Hubris, Fleek","""cat"" here",Yes,Yes,Positive 😊,Yes,,"Fruit Juice, Milk, Water",five random words,No,4.0,"Sub/Hoagie, Cheesesteak, Hamburger",Dog-Person,Yes,No
382,7/13/2019 23:49:00,Yes,"No, but maybe someday.",White and Gold,Capsicum,"Yes, constantly",No,Ostrich aardvark penguin caterpillar goldfish,Overcast,"Tie a sheet bend or bowline, Roller skate, Cut vegetables with a knife, Swim",,No,Warmer,"Grey, blue and yellow",No,24.0,8.0,No,Yes,0,1,0,Yes,Carrie Fisher,Yes,Yes,No,Dfhlvhagwhfgakehgrfygkuysarvkchasvejghvalhbiylgaejhbrkvjhds vjhfdbkuydfkuhbvljha dvkjvusvkjhbljhdfvzkjhvbkjfdhbkvjhdzfbkjhbvdfkjhvkjhzdbfvljhdfsv,2.0,No,Yes,Vanilla,42.0,,Yes,Yes,14,slightly off-white,Android,Tortellini,"Rife, Soliloquy, Amiable, Lithe, Hubris, Apricity",cat',Yes,No,Neutral 😐,Yes,Beer,"Milk, Tea, Water",Realise grape skeleteleteleton apple psithurism,No,2.0,,Dog-Person,Yes,No
96,8/6/2018 22:56:12,Yes,No,What dress?,olives,I'm not sure what things you mean,Yes,elephant dog fish cow horse,hot AF,"Roller skate, Drive a stick shift, Dive headfirst off a diving board, Ice skate, Walk on stilts, Cut vegetables with a knife, Swim, Ride a horse, Change the oil on a car",hors d oeuvres,No,Cooler,grey,No,42.0,9.0,Yes,Yes,0,4,0,No,marlene dietrich,No,No,Yes,i;jhior'how'irgi'jsadklfwo;iouge;jwbxzgeu98u90i-]'icg0=\hgiv'0houu09we4u09'g,2.0,No,Yes,Vanilla,24.0,in the literal clouds,Yes,Yes,42,green,Android,pasta,"Rife, Soliloquy, Stipple, Trephony, Tribution, Amiable, Salient, Lithe, Hubris, Fleek",cat,Yes,Yes,Positive 😊,Yes,,"Coffee, Water",mermaid unicorn the poop fuck,Yes,3.0,"Sub/Hoagie, Cheesesteak, Open faced sandwich",Dog-Person,Yes,"No, but I'm totally doing that now"
391,7/19/2019 22:44:56,Yes,"No, but maybe someday.",Blue and Black,Marsmellows,I'm not sure what things you mean,No,Girrafe flamingo lion gorollia rabbit,Hot and dry,,Asia,No,Warmer,"Red,blue and black",No,87.53637370000001,7.0,No,Yes,2,1,None,No,Death,Yes,No,Yes,Xec4v5bynukzwxec4vth6j7pp.om8j7gtcez2,1.0,Yes,Yes,Chocolate,92.529,Wires inn a comstant loop,No,Yes,16,Blue,I don't have a phone,Poleyester,"Slickle, Rife, Soliloquy, Tribution, Regolith, Lithe, Hubris",Cat,No,No,Neutral 😐,Yes,,"Fruit Juice, Tea, Water",Murder of dorgashan me now,No,2.0,"Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger","Cat-Person, Half-Cat Half-Person",No,No
321,4/20/2019 22:35:17,Yes,No,Blue and Black,,"Yes, occasionally",No,,,Cut vegetables with a knife,,No,Cooler,,Yes,,8.0,No,Yes,,,,Yes,,No,No,Yes,,1.0,No,Yes,Vanilla,,,What?,Yes,,,Android,,"Rife, Soliloquy, Amiable, Hubris",,Yes,No,Positive 😊,No,Red wine,"Coffee, Milk, Beer, Water",,A little,5.0,"Sub/Hoagie, Cheesesteak",Cat-Person,No,No
276,3/5/2019 16:37:27,Yes,"No, but maybe someday.",What dress?,,I'm not sure what things you mean,No,"Cat, Dog, budgie, cow",Clear,"Roller skate, Drive a stick shift, Dive headfirst off a diving board, Cut vegetables with a knife",,Yes,Warmer,Blue,No,74.0,8.0,No,Yes,0,0,0,No,,No,No,Yes,Hkgvljvnjdxkmmvlmbvcbm.,2.0,No,Yes,Vanilla,49.0,,What?,Yes,20,White,Android,Dumplings,Regolith,Cat,No,No,Neutral 😐,Yes,Coffee,"Noncaffeinated Soda, Milk, Beer, Water",The Hi ,A little,4.0,Hamburger,,Yes,No
166,10/31/2018 0:24:28,Yes,"No, but maybe someday.",A color combination not listed here,Corns,"Yes, occasionally",No,"Elephant, armadillo, Mola Mola (sunfish), kiwi, kakapo",Fine,"Drive a stick shift, Cut vegetables with a knife, Swim",callifragilistic,No,Cooler,Grey,No,77.0,10.0,,Yes,0,1,zero,No,Nick Jackholson,No,No,Yes,Hshdjffnjxkxkkzmxmcncjdbam,3.0,No,No,Chocolate,82.0,America,No,Yes,35,Light gray,Android,dark chocolate,"Amiable, Salient",cat,Yes,Yes,Neutral 😐,No,,"Noncaffeinated Soda, Fruit Juice, Tea, Water",Hello brownstone gigabit chilling reconnaissance,No,3.0,"Sub/Hoagie, Hamburger, Open faced sandwich",,No,No
448,9/30/2019 9:47:46,Yes,"No, but maybe someday.",Blue and Black,Ramen,"Yes, occasionally",No,rat monkey cat dog ferret,overcast,"Roller skate, Dive headfirst off a diving board, Ice skate, Ski, Cut vegetables with a knife, Swim, Change the oil on a car",receipt,No,Cooler,black,Yes,42.0,7.0,No,Yes,1,0,0,No,Edward Norton,No,No,Yes,"sdhtrshjkdfsgjgefsdefksfwgjemtry, ui75kwjs57yjw55aww5664uuhjt64azuhjyr5huj",4.0,No,Yes,Vanilla,42.0,on a server probably owned by amazon,Yes,Yes,31,grey,Android,Bagel,"Rife, Soliloquy, Amiable, Salient, Lithe, Revergent, Hubris",cat,No,No,Neutral 😐,Yes,Tomatoes,"Coffee, Milk, Beer, Water",monkey gate problem tackle screwdriver,No,5.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Dog-Person,Yes,No
146,10/9/2018 9:25:23,Yes,"No, but maybe someday.",A color combination not listed here,Sausages,No,No,"Ring-tailed lemur, velociraptor, inland taipan, ocelot, human",It's night.,"Tie a sheet bend or bowline, Dive headfirst off a diving board, Walk on stilts, Swim",Mischievous,No,Cooler,,No,81.48296748,10.0,No,Yes,0,0,0,No,Sharknado V Betelgeuse,No,No,Yes,joebidenjoebidenjoebidenjoebideninlandtaipanjoebidenjoebidenjoebidenjoebide,1.0,No,Yes,Chocolate,3.1415926539999997,"As keystrokes on a computer or mobile device, then transmitted in either electrical signals, radio waves, fiber-optics or broadband, then interpreted into usable information on my computer, then displayed as pixels on a laptop monitor.",Yes,Yes,4[x/11+(2^2)]+x=2x+[42-x-(x+9)]       x=?,Purple,I don't have a phone,A chicken nugget,"Soliloquy, Peristeronic, Tribution, Amiable, Regolith, Lithe, Revergent, Hubris, Fleek, Cadine",You're a kitty!,No,Yes,Negative 😠,No,"Beer, White wine, Carbonation (fizz), Red wine, Tomatoes","Milk, Maple Syrup, Water",Riboflavin corporation microwave lepton taipan,Yes,3.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone","Dog-Person, Cat-Person, Half-Cat Half-Person, Part of a subterranean race of dog people, Literally named ""Catherine Person""",No,Yes
130,9/10/2018 17:42:19,No,No,Blue and Black,French Fries,"Yes, occasionally",No,Lion Turtle Dog Dolphin Cat,Clear,Cut vegetables with a knife,-ght,No,Cooler,Red,No,50.0,5.0,No,Yes,0,0,0,No,Justin Beaver,No,I never had it,Yes,"viahnlz;loasjf9oirs94kmlsdfkdjsioapaw0pfw[v,v'/cxcmijvospz""'msinUAwnifmo",1.0,No,Yes,Chocolate,70.0,Building,What?,Yes,19,White,Android,Potato,"Tribution, Amiable, Regolith, Hubris",cat,No,No,Neutral 😐,Yes,"Beer, White wine, Red wine, Cilantro, Coffee, Tomatoes, Yogurt","Caffeinated Soda, Noncaffeinated Soda, Milk, Water",Mice Water Horse Elephant Canon,Yes,3.0,"Taco, Hamburger, Open faced sandwich",Cat-Person,No,No
268,2/27/2019 12:23:04,Yes,"No, but maybe someday.",Blue and Black,salads,No,No,rat cat giraffe rabbit starfish,cloudy,"Roller skate, Dive headfirst off a diving board, Ice skate, Skateboard, Ski, Cut vegetables with a knife, Swim, Do a back handspring",anxious,No,Warmer,dark blue,Yes,54.0,8.0,No,Yes,2,2,0,Yes,millie bobby brown,Yes,Yes,Yes,"fugkhmdjg,hmhxchf.kj,mnx",1.0,No,,Chocolate,73.0,my phone,Yes,Yes,15,brown,Android,rice with chicken,"Slickle, Trephony, Fleek",cat,No,No,Neutral 😐,Yes,"Beer, Cilantro, Tomatoes","Coffee, Fruit Juice, Milk, Tea, Water",age meat quickly mad boi,A little,4.0,Open faced sandwich,"Cat-Person, Half-Cat Half-Person, Part of a subterranean race of dog people",Yes,"No, but I'm totally doing that now"
283,3/7/2019 13:09:34,Yes,"No, but maybe someday.",Blue and Black,Tacos,"Yes, occasionally",No,Dog cat rabbit elephant bird,"Very cold, snowy","Roller skate, Run in high heels, Ice skate, Cut vegetables with a knife, Swim",Necessary ,No,Warmer,Black,No,76.0,7.0,Yes,Yes,2,1,3,Yes,Chris hemsworth,Yes,No,Yes,Fudkvcuksjfyhurhrvn,4.0,No,Yes,Vanilla,37.0,,No,Yes,23,Blue,iPhone,Bacon,"Soliloquy, Fleek",Cat,Yes,No,Neutral 😐,Yes,"Chocolate ice cream, White wine, Coffee, Yogurt","Milk, Tea, Water",If and but what who,No,5.0,"Sub/Hoagie, Cheesesteak",Dog-Person,No,No
498,12/1/2019 5:55:51,Yes,No,White and Gold,spinach,"Yes, occasionally",No,cat; dog; leopard; gazelle; fox,rainy,"Roller skate, Drive a stick shift, Ski, Change the oil on a car",address,No,Warmer,red,No,99.0,8.0,No,Yes,0,0,0,Yes,leonard nimoy,No,No,Yes,dpfjxmwnaldksowiruxucjgbsnwlap,4.0,No,Yes,Chocolate,42.625,from a waterpipe out of a round box,Yes,Yes,20,blue,Android,chilli cheese burger,Fleek,"""cat"" here",Yes,Yes,Negative 😠,Yes,"Beer, White wine, Red wine","Caffeinated Soda, Coffee, Fruit Juice, Milk, Tea",word; random; photo; camera; banana,A little,4.0,"Taco, Quesadilla, Sub/Hoagie, Calzone",Half-Cat Half-Person,Yes,No
22,6/5/2018 3:27:43,Yes,No,White and Gold,,No,No,,Midnight sun,"Solve a Rubik's cube, Cut vegetables with a knife, Swim",,No,Cooler,Gray,No,,2.0,Yes,Yes,1,4,0,No,Nick Cage,No,No,No,,3.0,No,Yes,Chocolate,,,Yes,Yes,18,Gray,Android,Popcorn,"Rife, Amiable, Salient, Regolith, Lithe, Hubris, Fleek",,Yes,No,Neutral 😐,Yes,"Carbonation (fizz), Coffee","Milk, Water",,No,2.0,"Sub/Hoagie, Hamburger",Cat-Person,Yes,No
338,5/13/2019 16:47:24,Yes,No,White and Gold,Chocolate-coated marshmallow treat,"Yes, constantly",No,Cat dog elephant tiger dolphin,Clear,"Solve a Rubik's cube, Cut vegetables with a knife, Swim",Separate,Yes,Cooler,None,No,79.0,10.0,No,Yes,3,1,None ,Yes,Tom Holland ,No,No,Yes,Dbfhfjfogovbebwbschcyviforkemwnsbxgvieo,2.0,No,Yes,Vanilla,37.0,Some server in West europe,No,Yes,20,Cream white,Android,Dinner,"Slickle, Soliloquy, Hubris",Cat,No,Yes,Positive 😊,No,"Beer, Carbonation (fizz)","Coffee, Milk, Wine, Water",Umm I have no ideas,No,5.0,"Sub/Hoagie, Hamburger",Dog-Person,No,"No, but I'm totally doing that now"
307,3/27/2019 13:50:49,Yes,Yes,Blue and Black,Sushi,"Yes, occasionally",No,Dog cat fish cow pig,Sunny,Cut vegetables with a knife,Weather ,Yes,Cooler,N/a,Yes,1.0,2.0,No,Yes,0,0,0,Yes,Tom Cruise,No,No,Yes,Gfsrtcvvjkjvxserhsdvnju,1.0,No,Yes,Chocolate,100.0,Server room,Yes,Yes,35,White,Android,Bacon,"Rife, Soliloquy, Fination, Amiable, Salient, Regolith, Lithe, Hubris",cat,No,Yes,Positive 😊,Yes,,"Coffee, Milk, Water",Rapid undermine alphabet croquet vascular,No,5.0,"Taco, Quesadilla, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich, Calzone",Cat-Person,Yes,Yes
233,1/27/2019 12:12:52,Yes,"No, but maybe someday.",Blue and Black,Bacon,"Yes, occasionally",No,Anteater Koala Dog Cat Cow,"Cool, windy","Solve a Rubik's cube, Cut vegetables with a knife, Swim, Juggle",Ouagadougou,No,Cooler,Navy,No,97.0,9.0,Yes,Yes,0,0,0,Yes,Brad Pitt,No,No,Yes,zdovih;aw/jg ;nxocvnu;/warbguwdg;h;nn;sdoguz;o8w;/nglk2 n/lovh;/gb[oaer'gb xc,1.0,No,Yes,Chocolate,37.0,,Yes,Yes,31,Pale Yellow,Android,Bean Salad,"Rife, Soliloquy, Stipple, Amiable, Salient, Lithe, Hubris, Fleek","""cat""",Yes,Yes,Neutral 😐,Yes,Eggs,"Fruit Juice, Water",Pituitary Obsequious Phylogeny Mittel Durmstrang,No,3.0,"Sub/Hoagie, Cheesesteak, Hamburger",,Yes,No
373,6/25/2019 9:39:10,Yes,"No, but maybe someday.",Blue and Black,tomatoes,"Yes, occasionally",No,cat horse dog octopus sheep,overcast,"Dive headfirst off a diving board, Ski, Swim",business,Yes,Cooler,light blue,Yes,42.0,2.0,No,No,3,0,0,Yes,tom hanks,No,No,Yes,uyavhnueqrkbhuqe7drzscgswcfgadw,1.0,No,Yes,Vanilla,42.0,null island,Yes,Yes,16,white,iPhone,yoghurt,"Rife, Soliloquy, Stipple, Trephony, Amiable, Salient, Hubris, Fleek",no,No,No,Positive 😊,Yes,Tomatoes,"Coffee, Milk, Tea, Maple Syrup",pea nice shame death thoughts,No,4.0,"Taco, Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich",Dog-Person,No,No
418,8/18/2019 15:12:37,Yes,No,A color combination not listed here,,"Yes, occasionally",No,mouse cat roach lion fly,Dry,"Tie a sheet bend or bowline, Roller skate, Drive a stick shift, Cut vegetables with a knife, Swim",,No,Cooler,blue,No,73.0,10.0,No,Yes,0,0,0,Yes,Ben Affleck,No,No,Yes,"pihvq3pozih jvw35086wu4jklzhvmqpalc,",3.0,No,Yes,Chocolate,44.0,,No,Yes,480 months,Orange,iPhone,Food,"Rife, Soliloquy, Stipple, Amiable, Salient, Regolith, Lithe, Hubris, Apricity","""cat""",No,Yes,Neutral 😐,Yes,Red wine,"Coffee, Fruit Juice, Milk, Beer, Tea, Water",five random words,No,4.0,Open faced sandwich,Cat-Person,Yes,No
27,6/7/2018 18:11:17,Yes,"No, but maybe someday.",Blue and Black,hawaiian pizza,"Yes, occasionally",No,"snake, dog, cat, frog, horse",sunny,"Roller skate, Solve a Rubik's cube, Dive headfirst off a diving board, Ice skate, Skateboard, Ski, Cut vegetables with a knife, Swim",success,No,Warmer,black,No,3.0,7.0,No,No,1,2,0,Yes,tom hanks,Yes,No,Yes,dfgavhsvfkjbsdjkbjfkbjbjk'bjfbsdkbkdsbfvf;knjo;d'n'oj4208uyrh,3.0,No,Yes,Vanilla,3.0,"on some dudes computer, covered in dorito dust and sticky from mountain dew",Yes,Yes,16,gray,iPhone,red-bull & soup ,"Rife, Soliloquy, Amiable, Salient, Lithe, Revergent, Hubris, Fleek","""cat"" here",Yes,Yes,Neutral 😐,Yes,"Beer, Red wine","Caffeinated Soda, Noncaffeinated Soda, Coffee, Fruit Juice, Milk, Beer, Tea, Maple Syrup, Water",runner fire monster crazy underneath,No,3.0,"Sub/Hoagie, Cheesesteak, Hamburger, Open faced sandwich","Dog-Person, Literally named ""Catherine Person""",Yes,No
